reference_prefix,discontinued_year,model_note,reason
116610LN,2020,Submariner ستيل الجيل القديم,Submariner ستيل الجيل القديم — استُبدل بـ 126610LN مقاس 41mm
116610LV,2020,Submariner Hulk,Submariner Hulk — استُبدل بـ 126610LV الجيل الجديد
116400,2023,Milgauss,Milgauss — انسحب نهائياً بدون بديل
116400GV,2023,Milgauss أخضر,Milgauss أخضر — انسحب نهائياً بدون بديل (إنتاج منذ 2007)
116500LN,2023,Daytona ستيل الجيل القديم,Daytona ستيل الجيل القديم — تغيير جيل كامل من 116xxx إلى 126xxx
116505,2023,Daytona Everose,Daytona Everose
116508,2023,Daytona ذهب أصفر (شمل John May,Daytona ذهب أصفر (شمل John Mayer الأخضر)
116509,2023,Daytona ذهب أبيض,Daytona ذهب أبيض
116519LN,2023,Daytona ذهب أبيض الجيل القديم,Daytona ذهب أبيض الجيل القديم
116680,2023,Yacht-Master II ستيل,Yacht-Master II ستيل — المجموعة انسحبت بالكامل
116681,2023,Yacht-Master II رولزور,Yacht-Master II رولزور — المجموعة انسحبت بالكامل
116688,2023,Yacht-Master II ذهب أصفر,Yacht-Master II ذهب أصفر — المجموعة انسحبت بالكامل
116689,2023,Yacht-Master II ذهب أبيض,Yacht-Master II ذهب أبيض — المجموعة انسحبت بالكامل
116710BLNR,2023,GMT Batman الجيل القديم,GMT Batman الجيل القديم — استُبدل بـ 126710BLNR
116710LN,2023,GMT أسود الجيل القديم,GMT أسود الجيل القديم — استُبدل بـ 126710GRNR
126200,2024,Datejust 36 بميناءات Palm و Fl,Datejust 36 بميناءات Palm و Fluted (بعد 3 سنوات)
126529LN,2024,Daytona Le Mans,Daytona Le Mans — أقصر إنتاج بتاريخ رولكس (يونيو 2023-أبريل 2024)
128239,2025,Day-Date 36 ذهب أبيض Turquoise,Day-Date 36 ذهب أبيض Turquoise
226659,2025,Yacht-Master 42 ذهب أبيض Falco,Yacht-Master 42 ذهب أبيض Falcon's Eye
126710BLRO,2026,GMT Pepsi ستيل,GMT Pepsi ستيل — توقف 1 أبريل 2026، تبعه ارتفاع حاد ثم تصحيح
126719BLRO,2026,GMT Pepsi ذهب أبيض,GMT Pepsi ذهب أبيض — توقف 2026 (شمل ميناء meteorite)
